datetime,open,high,low,close,volume,symbol
2025-03-04 15:00:00,83201.4,83373.42,82525.0,82769.7,1756.45339,BTC/USDT
2025-03-04 15:15:00,82769.7,82850.1,81500.0,82365.5,1756.34967,BTC/USDT
2025-03-04 15:30:00,82365.5,83283.18,82170.22,82832.91,858.11693,BTC/USDT
2025-03-04 15:45:00,82832.55,83143.04,82618.01,82985.06,453.90044,BTC/USDT
2025-03-04 16:00:00,82985.05,83143.78,82336.36,82916.32,427.5695,BTC/USDT
2025-03-04 16:15:00,82916.31,83100.0,82130.17,82252.84,452.55838,BTC/USDT
2025-03-04 16:30:00,82252.84,82905.89,82013.11,82896.7,726.56399,BTC/USDT
2025-03-04 16:45:00,82896.72,83825.72,82783.13,83555.37,713.54337,BTC/USDT
2025-03-04 17:00:00,83555.5,83928.6,83406.37,83868.48,540.09012,BTC/USDT
2025-03-04 17:15:00,83868.48,84831.77,83811.32,84738.5,801.73775,BTC/USDT
2025-03-04 17:30:00,84738.99,85420.95,84383.99,85220.23,1002.99178,BTC/USDT
2025-03-04 17:45:00,85220.24,85529.8,85023.69,85443.89,593.73304,BTC/USDT
2025-03-04 18:00:00,85443.88,86000.0,85186.73,85980.55,587.23813,BTC/USDT
2025-03-04 18:15:00,85980.55,86000.0,85260.51,85382.0,635.17629,BTC/USDT
2025-03-04 18:30:00,85382.0,85909.04,85148.68,85821.79,350.62726,BTC/USDT
2025-03-04 18:45:00,85821.78,86927.68,85750.71,86764.24,933.79495,BTC/USDT
2025-03-04 19:00:00,86764.25,88094.08,86537.71,88093.99,2033.01165,BTC/USDT
2025-03-04 19:15:00,88094.0,88487.91,87750.0,87750.47,1289.62976,BTC/USDT
2025-03-04 19:30:00,87750.46,88076.0,87614.76,88009.96,657.588,BTC/USDT
2025-03-04 19:45:00,88009.96,88391.94,87796.51,88206.19,382.20684,BTC/USDT
2025-03-04 20:00:00,88206.19,88310.45,87844.09,88258.49,449.31706,BTC/USDT
2025-03-04 20:15:00,88258.49,88840.03,88169.33,88406.55,578.72565,BTC/USDT
2025-03-04 20:30:00,88406.54,88458.75,87806.64,87962.73,534.59935,BTC/USDT
2025-03-04 20:45:00,87962.74,88090.32,86692.9,86825.27,997.71744,BTC/USDT
2025-03-04 21:00:00,86825.27,87378.77,86582.27,87146.33,610.37609,BTC/USDT
2025-03-04 21:15:00,87146.33,88967.52,87092.62,88779.75,827.70524,BTC/USDT
2025-03-04 21:30:00,88779.74,88798.79,87677.34,87950.73,842.68941,BTC/USDT
2025-03-04 21:45:00,87951.6,88018.39,87314.37,87517.49,388.60224,BTC/USDT
2025-03-04 22:00:00,87517.49,87802.54,87416.0,87594.41,242.81199,BTC/USDT
2025-03-04 22:15:00,87594.4,87871.56,87504.8,87729.37,143.43538,BTC/USDT
2025-03-04 22:30:00,87729.38,87969.77,87729.37,87873.07,136.55206,BTC/USDT
2025-03-04 22:45:00,87873.07,87873.08,87433.07,87486.0,144.09756,BTC/USDT
2025-03-04 23:00:00,87485.99,87747.3,87417.59,87649.41,179.31697,BTC/USDT
2025-03-04 23:15:00,87649.42,87671.99,87088.96,87391.86,212.2679,BTC/USDT
2025-03-04 23:30:00,87391.87,87479.99,87293.95,87407.99,120.72173,BTC/USDT
2025-03-04 23:45:00,87408.0,87408.0,87185.37,87281.98,114.00848,BTC/USDT
2025-03-05 00:00:00,87281.98,87281.98,87012.12,87141.99,273.52112,BTC/USDT
2025-03-05 00:15:00,87142.0,87180.0,86756.14,87061.99,465.19807,BTC/USDT
2025-03-05 00:30:00,87061.98,87168.0,86334.53,86594.09,464.30108,BTC/USDT
2025-03-05 00:45:00,86594.08,86837.96,86429.93,86800.36,319.94461,BTC/USDT
2025-03-05 01:00:00,86800.36,86940.59,86603.78,86842.21,272.19316,BTC/USDT
2025-03-05 01:15:00,86842.21,87435.0,86805.67,87276.66,255.61976,BTC/USDT
2025-03-05 01:30:00,87276.66,87610.0,87065.84,87499.73,311.36703,BTC/USDT
2025-03-05 01:45:00,87499.73,87794.52,87375.79,87643.11,282.82444,BTC/USDT
2025-03-05 02:00:00,87643.11,87689.35,87149.17,87282.66,224.28611,BTC/USDT
2025-03-05 02:15:00,87282.66,87640.72,87059.34,87311.99,331.84852,BTC/USDT
2025-03-05 02:30:00,87312.0,87584.91,87029.56,87488.0,284.33485,BTC/USDT
2025-03-05 02:45:00,87488.01,87888.88,87377.0,87466.55,277.7624,BTC/USDT
2025-03-05 03:00:00,87466.55,87802.75,87307.69,87725.99,217.65508,BTC/USDT
2025-03-05 03:15:00,87726.0,87888.0,87608.77,87686.01,296.12097,BTC/USDT
2025-03-05 03:30:00,87686.0,87853.69,87414.85,87414.86,204.31056,BTC/USDT
2025-03-05 03:45:00,87414.86,87610.48,86777.0,86843.4,288.48945,BTC/USDT
2025-03-05 04:00:00,86843.4,87180.0,86722.81,87056.88,596.5525,BTC/USDT
2025-03-05 04:15:00,87056.88,87398.0,86976.18,87010.96,715.55671,BTC/USDT
2025-03-05 04:30:00,87010.97,87065.67,86816.86,87000.0,327.75235,BTC/USDT
2025-03-05 04:45:00,87000.0,87076.06,86879.81,86915.94,257.9959,BTC/USDT
2025-03-05 05:00:00,86915.93,87197.78,86848.46,87113.59,328.14803,BTC/USDT
2025-03-05 05:15:00,87113.59,87113.59,86885.59,86960.65,103.98159,BTC/USDT
2025-03-05 05:30:00,86960.64,87155.33,86933.6,86962.0,126.06642,BTC/USDT
2025-03-05 05:45:00,86962.0,87245.0,86962.0,87145.98,126.77068,BTC/USDT
2025-03-05 06:00:00,87145.99,87216.52,87000.0,87035.52,95.49623,BTC/USDT
2025-03-05 06:15:00,87035.52,87216.33,87000.0,87117.79,104.22559,BTC/USDT
2025-03-05 06:30:00,87117.79,87466.75,87115.5,87433.97,160.95264,BTC/USDT
2025-03-05 06:45:00,87433.97,87588.6,87358.49,87490.12,188.5715,BTC/USDT
2025-03-05 07:00:00,87490.13,87727.27,87474.4,87491.94,372.87369,BTC/USDT
2025-03-05 07:15:00,87491.95,87539.08,87360.81,87536.0,108.80617,BTC/USDT
2025-03-05 07:30:00,87536.0,87580.71,87360.1,87520.98,132.11827,BTC/USDT
2025-03-05 07:45:00,87520.98,87686.86,87412.0,87619.49,137.97835,BTC/USDT
2025-03-05 08:00:00,87619.49,87735.85,87600.0,87725.79,165.85792,BTC/USDT
2025-03-05 08:15:00,87725.8,87842.35,87644.39,87775.0,139.26246,BTC/USDT
2025-03-05 08:30:00,87775.0,87900.0,87682.01,87876.67,166.69844,BTC/USDT
2025-03-05 08:45:00,87876.68,87924.68,87668.0,87760.0,135.83355,BTC/USDT
2025-03-05 09:00:00,87760.0,88409.91,87673.04,88256.28,389.76923,BTC/USDT
2025-03-05 09:15:00,88256.27,88686.0,88150.95,88621.21,418.25295,BTC/USDT
2025-03-05 09:30:00,88621.21,88829.68,88339.2,88551.78,406.64479,BTC/USDT
2025-03-05 09:45:00,88551.79,88610.58,88359.59,88469.01,223.76668,BTC/USDT
2025-03-05 10:00:00,88469.0,88712.0,88363.13,88445.99,216.29121,BTC/USDT
2025-03-05 10:15:00,88445.99,89621.99,88445.99,89612.02,966.34054,BTC/USDT
2025-03-05 10:30:00,89612.02,90660.0,89554.33,89975.0,1583.64118,BTC/USDT
2025-03-05 10:45:00,89975.0,90126.87,89576.87,89926.07,602.22135,BTC/USDT
2025-03-05 11:00:00,89926.07,90043.36,89674.56,89920.0,330.59,BTC/USDT
2025-03-05 11:15:00,89920.0,90058.0,89630.81,89690.0,271.54637,BTC/USDT
2025-03-05 11:30:00,89690.25,89899.45,89564.0,89848.17,279.97196,BTC/USDT
2025-03-05 11:45:00,89848.16,90127.0,89610.36,89814.26,454.60966,BTC/USDT
2025-03-05 12:00:00,89814.26,90530.97,89814.26,90243.48,464.54097,BTC/USDT
2025-03-05 12:15:00,90243.48,90755.37,90132.29,90380.0,482.12149,BTC/USDT
2025-03-05 12:30:00,90380.0,90933.82,90379.99,90622.99,629.59529,BTC/USDT
2025-03-05 12:45:00,90622.99,90679.25,90205.14,90355.97,674.59886,BTC/USDT
2025-03-05 13:00:00,90355.97,90588.0,89720.89,89720.89,791.82652,BTC/USDT
2025-03-05 13:15:00,89720.9,89950.0,89402.78,89785.13,1051.47662,BTC/USDT
2025-03-05 13:30:00,89785.13,89990.0,89103.52,89120.0,680.57512,BTC/USDT
2025-03-05 13:45:00,89120.0,89754.99,89110.0,89473.92,710.34775,BTC/USDT
2025-03-05 14:00:00,89473.92,89794.0,89364.6,89775.99,341.45036,BTC/USDT
2025-03-05 14:15:00,89776.0,89839.01,89320.0,89735.84,284.86457,BTC/USDT
2025-03-05 14:30:00,89735.85,89812.25,88356.86,89358.5,1445.25917,BTC/USDT
2025-03-05 14:45:00,89358.49,89405.75,88157.25,88519.93,1231.44684,BTC/USDT
2025-03-05 15:00:00,88519.94,89550.72,88509.1,88645.14,1274.0322,BTC/USDT
2025-03-05 15:15:00,88645.14,88740.59,87926.06,88089.48,923.96624,BTC/USDT
2025-03-05 15:30:00,88089.48,88805.54,88006.63,88592.0,545.54526,BTC/USDT
2025-03-05 15:45:00,88592.0,88746.22,88180.01,88344.25,692.62506,BTC/USDT
